Competitor,Angle Category,Hook Copy,Transcript,Visual Style,Nicho,Longevity Tier
Plato,Product Experience,blusa de tricot bufante que já é o look do dia 🎀,E aí E aí,"Aqui está a análise:

1.  **Formato visual:** Showcase de produto / Fashion Try-on.
2.  **Iluminação:** Estúdio/Ring Light. É uma iluminação artificial controlada e bem distribuída, realçando a modelo.
3.  **Ambiente:** Interno (apartamento moderno).
4.  **Paleta de cores:** Neutra e terrosa.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A modelo e as peças de roupa.",Moda,Solid
Beleza Brasileira,Pain-to-Solution,Melhorar a textura da pele leva tempo ⏱️,"Depois que eu postei esse vídeo, me fizeram essa pergunta. Se essa melhora foi realmente só com o Bumbum Cream? E a resposta é, não é milagre, é constância. Eu uso com frequência praticamente todos os dias. E agora eu tô vendo ainda mais diferença do que naquele primeiro vídeo, principalmente porque eu emagreci mais desde aquela primeira gravação, porque ele ajuda não só na textura, mas também na sensação de firmeza da pele. Então ele melhora muito o aspecto da pele e a aparência da celulite. Mas precisa usar de forma consistente. Porque também não faz milagre, né, minhas divas? Eu amo o bumbum cream normal, que ele tem aquela ação termogênica. Então, parece que você realmente sente o efeito que tá fazendo, sabe? Mas eu também uso bastante o bumbum cream suave, principalmente depois do banho. Ele tem a mesma proposta, mas sem aquela sensação de aquecimento. Então, pra quem quer melhorar a textura da pele, usar com constância faz muita diferença. Quem começa a usar, nunca mais consegue parar. e quem nunca usou, já tá perdendo tempo. Usa meu cupom CAROLBUENO e já corre lá no site pra garantir o seu.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head com aplicação de produto e antes-depois.
2.  **Iluminação:** Principalmente natural/orgânica e suave.
3.  **Foco corporal:** Produto aplicado nas coxas; rosto da apresentadora.
4.  **Paleta de cores:** Amarelo vibrante, neutros claros.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora explicando a consistência dos resultados e o produto.",Beleza,Performer
Plato,Benefit/Result,blusa de tricot bufante que já é o look do dia 🎀,"E com a última cor disponível da nossa blusa manga bufantes, amor, olha que monocromático lindíssimo que eu montei aqui pra vocês, com a nossa calça alfetaria que a gente recebeu reposição recentemente. Não sei como tá a grade dela, mas tá esgotando rápido, tá? Inclusive, a gente, além dessa cor, temos disponível em várias, ela já vai com cinto, mas o assunto é a nossa blusa. A última remessa que veio, veio uma tonelidade mais voltada pro vinho. Essa daqui é mais voltada pro uva, Mas, gente, é muito parecido, tá? Só que, realmente, quando tem essa pequena diferença, assim, de tom, sabe? Que é tom sobre tom mesmo. Eu gosto de fazer um novo conteúdo pra vocês. Sem contar que o tecido dela tá mais grosso. Isso daqui vocês vão conseguir ver mais nitidamente quando chegar na casa de vocês, tá? Então, assim, maravilhosa a nossa blusa. 149, amor. E a calça que já vai com cinto, 189, tá? Então, aproveitem pra garantir junto.","Aqui está a análise:

1.  **Formato visual:** UGC product showcase / Talking head.
2.  **Iluminação:** Misto, com luz natural da janela e luzes de teto quentes.
3.  **Ambiente:** Interno, num ambiente doméstico moderno.
4.  **Paleta de cores:** Roxo profundo e neutros quentes.
5.  **Qualidade de produção:** UGC casual (gravado com celular em espelho).
6.  **Elemento principal de atenção:** A mulher e seu vibrante look roxo.",Moda,Testing
Plato,Lifestyle/Aspiration,o vestido acetinado com franjas que faz o look por inteiro ✨,"Mais um spoiler em tempo real pra vocês. Amor, isso daqui não tem ninguém que tá preparado pra essa peça. Porque ela é duas peças. É um vestido acetinado e um lenço de franjas. Então, vocês já estão pensando o mesmo que eu? Quantos looks vocês conseguem utilizar só o lenço? Quantos looks vocês conseguem tirar aqui e usar só o vestido? com uma jaqueta aqui por cima. Ele é um pouco assimétrico aqui, tá? Eu achei isso aqui genial. E ainda, amor, tem um um botãozinho aqui na lateral, não sei se tá dando pra vocês verem, pra você colocar o lenço pra não ter perigo dele sair. Não, isso daqui... Chique não, repete comigo. Ah, len. Maravilhoso. Nossa.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto / UGC talking head
2.  **Iluminação:** Estúdio/Ring Light - há um softbox visível e iluminação de teto para uma luz uniforme.
3.  **Ambiente:** Interno / estúdio
4.  **Paleta de cores:** Preto, marrom, neutros
5.  **Qualidade de produção:** Estúdio profissional
6.  **Elemento principal de atenção:** O look preto com franjas e sua versatilidade.",Moda,Testing
Plato,Offer/Urgency,o conjunto bordado que não passa despercebido ✨,"R$ 239 é o valor que você vai pagar nesse conjunto lindíssimo de max camisa e calça pantalona com bordado. Olha essa camisaria, sim amor, ela é toda bordada. Além do preto, a gente também tem uma cor de nude maravilhosa e também no branco, tá? Se você amou essa peça, corre, clica aqui pra garantir que os nossos lançamentos são limitados. E por esse valor de R$239,00, no tempo que você está pensando, já tem outra cliente garantindo no site. A chance de esgotar é muito grande, então já corre para garantir o seu.","Aqui está a análise:

1.  **Formato visual:** UGC Talking Head / Product Showcase
2.  **Iluminacao:** Misto. A iluminação ambiente da casa (natural e artificial) é bem utilizada, criando um tom acolhedor.
3.  **Ambiente:** Interno, em um ambiente doméstico moderno e bem decorado.
4.  **Paleta de cores:** Preto, Branco/Dourado, Neutros.
5.  **Qualidade de producao:** Semi-profissional, com um toque casual de UGC.
6.  **Elemento principal de atencao:** A mulher e o conjunto de roupa (camisa bordada e calça).",Moda,Solid
Growth Supplements,Product Experience,,"Digestão leve com alto teor de proteína, por apenas R$ 5,45 a dose.","Aqui está a análise:

1.  **Formato visual:** Talking head com showcase de produto.
2.  **Iluminação:** Estúdio/Ring Light, bem controlada para destacar o apresentador.
3.  **Ambiente:** Academia.
4.  **Paleta de cores:** Clara, azul e neutra.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** O apresentador (Fê Franco) e o produto (Whey Zero Lactose).",Wellness,Solid
Plato,Offer/Urgency,o conjunto de cotele que dispensa complementos 🤎,"Uau! Que lançamento é esse? Conjunto de calça, camisa e que já vai com cinto. De apenas 259, bora se arrumar comigo com cada cor. Começando pelo preto. Adicionei o nosso body canelado. A max camisa toda solta. E uau! Tenho a minha cor favorita. Mas por falar em cor, calma, tá? Apenas começando e esse é o café. Adicionei a camisa toda fechada, com um lado só pra dentro. O cinto que já vai com ele bem à mostra. Já tá difícil decidir entre o café e o preto. E agora eu venho com o marrom. Camisa toda pra dentro. Uau! Um de cada cor. Agora, o cinza. É claro que não poderia faltar com cinto marcando a cintura. O vinho, que é uma das maiores cores de 2026. E se eu fosse você, corria pro site clicando no link pra garantir. Pra fechar as cores, o verde. Afinal, por 259 vai esgotar tudo. Um beijo!","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto com styling (influencer-style).
2.  **Iluminação:** Misto, com luzes de teto e boa iluminação ambiente.
3.  **Ambiente:** Interno (apartamento/casa).
4.  **Paleta de cores:** Neutras, terrosas e sóbrias.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A modelo e os diversos conjuntos de roupa.",Moda,Long-Runner
Plato,Lifestyle/Aspiration,"cintura alta, acabamento que não mente ✨",E aí E aí,"Aqui está a análise:

1.  **Formato visual:** Showcase de produto / Lifestyle.
2.  **Iluminação:** Misto (predominantemente controlada, com uso de luzes de teto/foco para um brilho uniforme e sem sombras duras).
3.  **Ambiente:** Interno (apartamento/casa moderna).
4.  **Paleta de cores:** Terrosa, neutra, quente.
5.  **Qualidade de produção:** Semi-profissional (bem editado, iluminação controlada, enquadramento estável).
6.  **Elemento principal de atenção:** A modelo e as peças de roupa.",Moda,Performer
Creamy Skincare,Pain-to-Solution,O Ácido Tranexâmico da Creamy é um aliado no cuidado com manchas e hiperpigmentação,"Virilha escura, ácido tranexâmico. Axila escura, ácido tranexâmico. Manchas de acne, ácido tranexâmico. Melasma, ácido tranexâmico. Manchas de sol, ácido tranexâmico. Esse ácido tranexâmico é bom para qualquer mancha? Sim, basicamente. Mas principalmente aquelas manchas escuras, como de melasma, Manchinhas de acne, virilha, axila, manchas de sol E dá pra usar todos os dias? Dá pra usar todos os dias, é só você hidratar bastante e proteger Se você usar durante o dia Esse ácido dá pra usar de dia? Sim, tanto de dia quanto à noite Como eu adiciono ele na minha rotina? Na parte da manhã você vai limpar a sua pele, passar um pouquinho desse tônico Hidratar e proteger Se você quiser usar à noite, você vai lavar a sua pele, passar ele e hidratar Não vai irritar a minha pele? Se você tiver uma pele mais sensível, use um dia sim, um dia não, ou comece usando três vezes na semana, e depois você vai aumentando gradativamente até usar todos os dias. Você que tenha bastante manchas de acne ou melasma, eu aconselho de manhã você usar uma vitamina C, que também ajuda nas manchas, e à noite usar o ácido tranexâmico. Vai, assim, limpar a sua pele. Como que eu aprendo tanto sobre skincare? Só você salvar o vídeo, me seguir, que todos os dias eu tô explicando um ativo de skincare. como adicionar na sua rotina e pra que serve.","Aqui está a análise:

1.  **Formato visual:** UGC talking head (mulher explicando diretamente para a câmera, segurando o produto).
2.  **Iluminação:** Misto, com luz suave e uniforme, possivelmente de uma ring light.
3.  **Foco na pele:** Textura realista visível, sem filtros excessivos.
4.  **Paleta de cores:** Neutra, clara, verde neon.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora e o produto em suas mãos.",Beleza,Long-Runner
Insider Store,Benefit/Result,Geminianos têm pressa de viver,"Posso falar? Eu tô pensando aqui, como seria um arrume-se comigo feito por um geminiano? Já vou começar uma pesquisa de tecidos, de caimentos, de referências. O geminiano é curioso, gosta de estudar, investigar, quer saber o porquê das coisas. Enquanto se planeja, o geminiano faz outras três coisas ao mesmo tempo, enquanto pensa em outras cinco. A cabeça não para quieta. O que eu ia fazer mesmo? Ah, trocar de roupa. É bom ser uma roupa que acompanha a possibilidade de um almoço virar um bar, um flerte virar um debate sobre vida fora da terra, ou uma volta no quarteirão virar uma viagem de três dias. Gêmeos é assim, do 8 ao 80. E eu não sei se vocês já perceberam, mas gêmeos gostam de conversar. São observadores, interessados e gostam de gente. Quer saber? Me entediei. É porque dependendo de onde eu for, eu tenho que calcular exatamente a imagem que eu vou passar de mim. Mas isso não é falsidade. É só a facilidade do geminiano de perceber o entorno e se adaptar. Isso é poder de persuasão. E eu vou me trocar de novo. O quê? Agora é crime ser desapegado? E as roupas da Insider acompanham essa necessidade geminiana de atravessar várias versões suas no mesmo dia. E aproveita meu cupom de desconto, Maria Bob. Se você só não entende gêmeos, quem espera a estabilidade de quem nasceu para experimentar o mundo inteiro? O que define gêmeos é a sua pressa de viver.","Aqui está a análise:

1.  **Formato visual:** UGC lifestyle, com talking head e showcase de produto.
2.  **Iluminação:** Natural/Orgânica; luz suave e uniforme, vinda de janelas.
3.  **Ambiente:** Interno (apartamento).
4.  **Paleta de cores:** Neutra e terrosa.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A expressividade da mulher e as constantes mudanças de roupa.",Moda,Solid
Beleza Brasileira,Offer/Urgency,minha dupla fav de treino @belezabrasileirabr ⭐️,E aí,"Aqui está a análise:

1.  **Formato visual:** Aplicação de produto em contexto de lifestyle.
2.  **Iluminação:** Natural/Orgânico, com luz difusa de ambiente interno.
3.  **Foco corporal:** Produto aplicado nas coxas, quadris e abdômen.
4.  **Paleta de cores:** Neutras e terrosas com pops de cor vibrante.
5.  **Qualidade de produção:** Semi-profissional, com boa edição e estabilidade.
6.  **Elemento principal de atenção:** Os produtos e seus benefícios visíveis na pele da modelo.",Beleza,Performer
Beleza Brasileira,Pain-to-Solution,VENHO COM PROVAS,"O dia que meu namorado usou meu creme termogênico, perdeu 2kg em 30 minutos. Quem assistiu meu outro vídeo viu que ele participou de um campeonato de jiu-jitsu. Só que na hora da pesagem ele tava com 79kg. Só que o Divo precisava estar com 77kg. O moço disse, perca 2kg e volte. Aí eu disse, vamos tesouro pra casa, em casa a gente resolve. Minha filha, eu peguei o bumbum coinho e eu besuntei este homem de todos os lados possíveis. Como ele ativa nossa circulação e a temperatura corporal, é justamente o momento que ele reduz as medidas, ele fica queimando tudo. Pra terminar de eliminar toda a retenção que era o que ele estava, ele foi presteira inclinada pra soar bastante. Olha isso aqui Ai, mas porque o bumbum cunha não funciona pra você Que não usa Ai, tesouro, tomou um banho, a gente voltou pra pesagem Ai, não deu outra, deu 76.9 E o Divo foi classificado pra poder começar a lutar E daí pra frente, foi só pra frente Ele lutou, finalizou, ganhou a medalha e deu tudo certo E tu aí duvidando da eficácia do bumbum cunha Imagina tu comprar e usar como eu Todos os dias, como um tratamento Como tu não vai ter resultado Eliminando o foliculite e melhorando o celulite e tuas estrias Uso com polaência e aproveita as promoções no site Beijo","Aqui está a análise:

1.  **Formato visual:** Lifestyle com aplicação de produto e storytelling.
2.  **Iluminação:** Natural/Orgânico.
3.  **Foco corporal:** Aplicação no torso/costas do homem e no corpo da mulher, com ênfase em medidas.
4.  **Paleta de cores:** Vibrante, natural, tons quentes.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A narrativa da perda de peso do homem e o efeito visível do produto.",Beleza,Solid
Creamy Skincare,Pain-to-Solution,A Niacinamide Complex B da Creamy é um ativo multifuncional que ajuda a equilibrar a pele em diferentes frentes,"Eu comecei a usar recentemente a Niacinamida da Creamy na minha pele, eu já tô amando os resultados. Olha só, trouxe até a minha aqui pra poder mostrar pra vocês. E que coisa mais linda essa embalagem, né? É um sérum, ó. A textura é leve, uma textura de sérum de fácil absorção da pele. E um pump dá pra você usar no rosto inteiro, tá? Não precisa de mais que isso, então o produto tem um excelente rendimento. Quais são os benefícios da Niacinamida? Ela vai auxiliar no controle da acne, controle de oleosidade. Notei muito isso do controle de oleosidade, principalmente por usar maquiagem o dia todo Então a maquiagem já está segurando muito mais Ela ajuda na redução dos poros e também vai ajudar com linhas finas Além de, claro, melhora da textura e uniformização do tom da pele, tá? Um produto maravilhoso para você utilizar no dia a dia E como tem a pele mais sensível, a Niacinabida nos torna agressiva Porque é um blend de vitaminas","Aqui está a análise do vídeo:

1.  **Formato visual:** Aplicação de produto com estética UGC.
2.  **Iluminação:** Natural e orgânica.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Rosa vibrante e tons neutros.
5.  **Qualidade de produção:** Conteúdo UGC casual de alta qualidade.
6.  **Elemento principal de atenção:** O produto rosa e sua textura na pele.",Beleza,Long-Runner
Insider Store,Pain-to-Solution,Se tu quiser comprar na @insiderstore compra,"Oi, Vitor, tudo bem? Sei que você está de férias aí na Bahia, né? Como que está por aí? Então, seguinte, eu preciso que você poste aquele nosso Reels contratado ainda hoje. Você consegue? De repente você pode aproveitar e fazer aí perto da piscina, pode falar que está no mês do consumidor da Insider, que está nos últimos dias, que não vai ter essa oportunidade depois. Você tem que falar tudo isso junto com os produtos, tá? Não, quer dizer, você tem que falar tudo isso e falar dos produtos. As roupas tecnológicas da Insider estão no mês do consumidor. São peças que desamassam com o calor do corpo, então você não precisa passar. Tem ação anti-odor, rápida evaporação do suor e além de tudo isso não desbotam. Aí você pode falar que o seu cupom Vitor Vá soma com os descontos do site, ou seja, desconto em cima de desconto, que somando os dois o desconto pode chegar até 50% off. Aí você faz isso bebendo um drink, sei lá. Aproveita que você tá aí na Bahia, aí no final você faz um call to action bem legal. A Insider tá em promoção, compra aí. Pode fazer aí, mas precisa postar hoje, tá? Beijo, aproveita suas férias, tá?","Aqui está a análise:

1.  **Formato visual:** UGC-style narrativo/lifestyle com product showcase.
2.  **Iluminação:** Natural/Orgânica. Predominantemente luz do dia, evidente nos céus e reflexos na água.
3.  **Ambiente:** Externo.
4.  **Paleta de cores:** Tons terrosos, azul e verde.
5.  **Qualidade de produção:** UGC casual.
6.  **Elemento principal de atenção:** O protagonista e suas expressões faciais.",Moda,Long-Runner
Creamy Skincare,Pain-to-Solution,"O Retinal ajuda a acelerar a renovação da pele, melhorando textura, linhas finas e marcas de acne","A toa que a gente já tem o nosso retinal brasileiro pensado pra gente, feito pela Creamy. Ele tem a máxima concentração permitida de retinal deído no Brasil, um ativo de nova geração, além da gluconolactona que renova a pele de forma delicada. Vamos começar que ele melhora as rugas, uniformiza o tom e a textura da pele, reduz os poros dilatados, controla a oleosidade e o brilho em excesso, além de deixar a pele mais firme, elástica e hidratada. Creamy. O resultado da ciência na sua pele.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC Talking Head com aplicação de produto.
2.  **Iluminação:** Mista, com luz suave e clara que realça a pele.
3.  **Foco na pele:** Textura realista e visível.
4.  **Paleta de cores:** Vibrante (vermelho, branco, azul).
5.  **Qualidade de produção:** Semi-profissional, com toques de UGC.
6.  **Elemento principal de atenção:** A apresentadora e o produto em si.",Beleza,Long-Runner
Versiani Swim,Product Experience,✨ Biquíni Fita VS,"Essa é a marca Versiani Swim, a marca da Gabriela Versiani. Esse é o best-seller deles e é um biquíni perfeito pra você pegar marquinha. Não tem amarração nem em cima, nem embaixo. Então ele fica com a marquinha perfeita, ele é super confortável. E o tecido dele tem UV, que intensifica mais a sua marquinha. Eu já tinha o off, eu já tinha o laranja, o vermelho e o azul. Vocês não estão me entendendo, não? O tanto que eu vou usar esses biquinis.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head, showcase de produto e lifestyle.
2.  **Iluminação:** Mista: luz natural e suplementar interna.
3.  **Ambiente:** Misto: interno (casa, provador) e externo (piscina, sauna).
4.  **Paleta de cores:** Vibrantes, preto e neutros.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora e os biquínis.",Moda,Testing
Plato,Benefit/Result,saia midi de tule que transforma qualquer produção 🎀,"É hoje o lançamento mais esperado da coleção oficial de inverno da Platô. Que saia é essa? Muitíssima! E pra fechar o look, jaqueta em uma batida.","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto / Lifestyle com estilo influencer.
2.  **Iluminação:** Misto (principalmente iluminação interna bem planejada que simula luz natural).
3.  **Ambiente:** Interno (apartamento/casa moderna).
4.  **Paleta de cores:** Neutro, terroso, sofisticado.
5.  **Qualidade de produção:** Semi-profissional (alta qualidade para redes sociais).
6.  **Elemento principal de atenção:** A influenciadora e o look que ela está apresentando.",Moda,Solid
Plato,Benefit/Result,a saia longa de franjas que transforma o guarda-roupa 🎀,E aí E aí,"Aqui está a análise:

1.  **Formato visual:** Showcase de produto/Try-on haul.
2.  **Iluminacao:** Mista; iluminação interna controlada com spots e preenchimento para um look polido.
3.  **Ambiente:** Interno (apartamento/casa).
4.  **Paleta de cores:** Neutra e vibrante (tons terrosos e escuros com fundo claro).
5.  **Qualidade de producao:** Semi-profissional.
6.  **Elemento principal de atencao:** As saias de franjas e a transição dinâmica dos looks.",Moda,Long-Runner
Insider Store,Pain-to-Solution,Você já tem aquela peça chave no armário para levar para onde quer que você vá,"Essa aqui é a única camisa que você tem que ter na sua mala de viagem e eu vou te mostrar porquê. Começando pelo look da própria viagem. Vai colocar uma base neutra de regata, a saia midi, o seu tênis e a sua bolsa. Além de ficar super estilosa, você se protege do congelador do ar-condicionado, né? Do avião, do aeroporto, do carro, enfim. Aí você piscou, maravilhosa, você já estava com seu biquíni, tomando seu suco de frutas amarelas na piscina. É isso, simples assim. Aí você estava sossegada, tomando seu solda, aí sua filha, mãe, vamos na feirinha de artesanato? Aí você pegou a sua bolsa, colocou a sua mini saia, manteve a sua papete e foi na feirinha de artesanato. Acabou o dia? Não acabou não. Seu marido fez reserva naquele restaurante maravilhoso, é. Aí você colocou o seu tamanco de saltinho, um cinto, bolsinha aqui na mão e deu aquela caidinha de ombro pra ficar bem elegante e feminino. Mas férias não era pra descansar? Temos o look de volta, ó. O look de volta é o tênis, você pode colocar por baixo um tubinho preto de malha, bem básico. E joga a sua camisa também. E olha, a melhor parte é que todas essas peças são da Insider e ainda desamassam no corpo. Porque com essa agenda cheia que você vai ter, você acha que vai ter tempo para passar a roupa? Vou deixar para você todos os detalhes aqui na legenda.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto / lifestyle.
2.  **Iluminação:** Mista, com boa luz natural combinada com iluminação suplementar para um brilho uniforme.
3.  **Ambiente:** Interno (provavelmente um showroom ou sala de estar bem decorada).
4.  **Paleta de cores:** Neutra, preto e branco.
5.  **Qualidade de produção:** Semi-profissional (alta qualidade para conteúdo de influenciador).
6.  **Elemento principal de atenção:** A influenciadora e as diversas combinações de looks.",Moda,Long-Runner
Creamy Skincare,Pain-to-Solution,"Pore Refiner melhora a aparência dos poros no primeiro uso e promove uma pele mais lisa, uniforme e equilibrada","Pois bem, meus amores, a Creamy Face pra gente os pads, que é o Pore Refiner, que chama. Vem a pincinha e você pega ele assim. Eu não vou gastar porque eu acabei de passar um aqui que eu tava gravando pra vocês. Ele tem ácido salicílico, ele controla a oleosidade, ele deixa a pele com aquele efeito de glass skin. Ele não é um tônico, ele é um tratamento, assim. Surreal! Sem contar a praticidade disso daqui, né? olha isso, você pega, passa e descarta, vem 70 pads, ele tem ácido salicílico como eu falei, tem AHA é assim, maravilhoso, não sensibiliza nada a pele eu estou apaixonada, gente, a cream aqui lacrou mais uma vez pioneira em pads nacionais, tem cupom a cream, vocês já sabem, eu vou deixar aqui pra vocês com o link, aproveita pra garantir o lançamento em primeira mão","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head com demonstração de produto.
2.  **Iluminação:** Natural/Orgânica, proporcionando um brilho suave e uniforme.
3.  **Foco na pele:** Textura realista visível, sem filtros pesados.
4.  **Paleta de cores:** Azul claro, branco, neutro, com toques de cor da apresentadora.
5.  **Qualidade de produção:** UGC casual, com boa luz e áudio claro.
6.  **Elemento principal de atenção:** A apresentadora (rosto e comunicação direta) e o produto.",Beleza,Long-Runner
Beleza Brasileira,Offer/Urgency,Use o CUPOM 🏷️PAOLA10 no site da @belezabrasileirabr,Música,"Aqui está a análise do vídeo:

1.  **Formato visual:** Aplicação de produto e rotina corporal.
2.  **Iluminação:** Luz natural suave e complementar, bem distribuída.
3.  **Foco corporal:** Produto aplicado nas pernas para melhora da textura da pele.
4.  **Paleta de cores:** Cores vibrantes (roupas) e neutras (ambiente).
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** Consistência da rotina e o resultado visível na pele.",Beleza,Performer
Creamy Skincare,Benefit/Result,"O Peptide da Creamy ajuda a estimular o colágeno, melhorar a elasticidade e reforçar a estrutura da pele, enquanto entrega hidratação confortável e duradoura","Peptídeos. Todo mundo fala que é bom, mas ninguém te explica o porquê. Vem, os peptídeos estão muito populares. Eles fazem a parte de umectação da pele, de hidratação. Porém, eles têm um punch a mais. Eles dão aquele efeito plump e se você combinar eles com o retinol, ele vai ajudar ainda a sinalizar mais o colágeno da sua pele. Eu falo que eles são quase o arquiteto da sua pele. E o retinol é o construtor, é quem vai botar a mão na massa. Creamy. O resultado da ciência na sua pele.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head com animações e antes-depois.
2.  **Iluminação:** Natural/Orgânica (luz ambiente de loja).
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Brilhante, limpa, azul.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A explicação didática do apresentador.",Beleza,Performer
Insider Store,Pain-to-Solution,Depois dessa qualquer qualquer um vai viajar com mala de mão,"Tá cansada de viajar com aquelas malas enormes e pesadas? Vem que eu vou te ensinar a fazer uma mala de mão muito prática com uma técnica muito simples. O método chama Sudoku, isso mesmo igual do jogo. E se você jogar com as suas peças, ele te permite fazer no mínimo 12 combinações. Separe 3 peças de cima, 3 peças de baixo e 3 terceiras peças. O segredo é escolher peças que combinem entre si. Organize as peças da seguinte maneira. E agora é só jogar. Combine as colunas e linhas retas pelos cantos e até na diagonal. Para uma mala ainda mais prática, opte por tecidos mais leves que não pesem e não amassem tanto. Isso vai facilitar muito o seu dia a dia na viagem. Todas as peças da minha mala são da Insider, que além de lindas e versáteis, possuem tecidos tecnológicos que desamassam no corpo e facilitam a evaporação do suor. Março é o mês do consumidor e o site da Insider tá cheio de promoção. Somando ao meu cupom os descontos do site, você garante até 30% off. Corre lá!","Aqui está a análise em 6 linhas curtas:

1.  **Formato visual:** Showcase de produto e lifestyle (tutorial de moda).
2.  **Iluminação:** Misto (predominantemente natural/orgânico), com luz ampla e uniforme.
3.  **Ambiente:** Interno (ambiente residencial).
4.  **Paleta de cores:** Neutra e clássica (azul marinho, preto, bege, branco, vermelho).
5.  **Qualidade de produção:** Semi-profissional (alta qualidade para conteúdo digital).
6.  **Elemento principal de atenção:** A apresentadora (sua expressão facial amigável e direta).",Moda,Long-Runner
Beleza Brasileira,Benefit/Result,Aumenta o som e APROVEITA que o cupom tá babado,"Mulher, deixa eu te falar, que creme é esse? Por que você não me falou dele antes? Você lembra como é que tava a minha situação, né? Parecia que eu tinha ralado a bunda no asfalto de tanta foliculite que eu tava. Olha, foi eu começar a usar o creme, sumiu tudo. Eu vou te mandar uma foto que eu tirei na praia pra você ver. Aí agora eu tô assim, entendeu? Minha chamba. Inclusive, vem cá, não tem nenhuma promoção dele rolando, não? Me avisa aí, porque agora eu não fico mais sem ele, não. Amiga, ainda bem que você me mostrou aquele creme lá na China, o Bumbum Cream. Nossa, como o meu bumbum melhorou, ele me salvou aqui pros meus trabalhos. Nossa, ele me ajudou muito a ficar sem aquelas bolinhas Lembra que a gente conversou, que eu tava com umas bolinhas no bumbum Você sabe, né? A gente precisa manter tudo certinho É uma cobrança diária, então assim, eu consigo fazer minhas fotos de biquíni melhor Nossa, minha autoestima voltou Ele é tudo, meu Deus, eu tô apaixonada Eu já vou encomendar mais, porque eu tô voltando agora E por isso que eu tô te mandando esse áudio, porque assim, amiga, eu preciso pra ontem E eu tô voltando pro Brasil, eu quero fazer meu estoque Meu Deus, eu tô apaixonada, eu amei demais, obrigada pela dica, amiga","Aqui está a análise:

1.  **Formato visual:** UGC talking head (testemunho) com cenas de lifestyle e produto.
2.  **Iluminação:** Mista, com luz natural externa e interna suave.
3.  **Foco corporal:** Resultados do produto nos glúteos e pernas; apresentação do creme.
4.  **Paleta de cores:** Vibrante (praia) e monocromática (P&B).
5.  **Qualidade de produção:** Híbrido: UGC casual (talking head) e imagens lifestyle profissionais.
6.  **Elemento principal de atenção:** O corpo da modelo (glúteos) e a eficácia do produto.",Beleza,Performer
Creamy Skincare,Pain-to-Solution,"A Creamy tem soluções completas para acne, poros, manchas, sinais da idade e hidratação","Não use nenhum ácido da Creamy antes de você saber qual que você deve escolher. E é por isso que eu tô aqui pra te ajudar. Meu nome é Jordão Debranço, o melhor amigo da sua pele. Ácido mandélico, ideal pra tratar manchas de acne e acne ativa, aquela mais avermelhada. Ácido tranexâmico, ideal pra manchas de melasma ou manchas solares. Retinol ou retinal vai te ajudar a tratar rugas. Ácido glicólico te ajuda muito com poros e textura de pele regular. Já o ácido salicílico vai te ajudar com excesso de oleosidade e aquele sebo insistente. Você utiliza preferencialmente os ácidos na rotina noturna. E se eles forem em tônico, pode utilizar na rotina da manhã. Logo após a etapa de limpeza da pele. Depois é só hidratar e não esquecer o protetor solar no outro dia. Corre no site da Creamy e use o nosso cupom Jardel ou PrimeiraJardel pra mais descontos se for sua primeira compra. Eu sou o reizinho do skincare de vocês, eu sei disso. E a Creamy é a rainha. A gente tá tudo aqui num reinado, numa pele bonita. Tchau!","1.  **Formato visual:** UGC talking head com elementos visuais de produto e antes-depois (via overlays).
2.  **Iluminação:** Mista, com luz natural de fundo e iluminação frontal artificial para o apresentador.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Limpa e vibrante.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** O apresentador carismático e a informação visual dinâmica via overlays.",Beleza,Long-Runner
